CAS , ringCount
1732-10-1 ,0
17337-12-1 ,0
17348-59-3 ,0
17352-32-8 ,0
17373-93-2 ,1
1738-25-6 ,0
1741-83-9 ,0
1741-84-0 ,0
1741-85-1 ,0
17422-33-2 ,2
17455-13-9 ,0
1745-81-9 ,1
1746-01-6 ,2
1746-23-2 ,1
1746-81-2 ,1
17514-96-4 ,2
17560-51-9 ,2
1758-85-6 ,1
1758-88-9 ,1
1759-53-1 ,0
1759-58-6 ,0
1761-61-1 ,1
17618-77-8 ,0
17627-41-7 ,0
17627-76-8 ,1
17679-93-5 ,0
17699-14-8 ,0
17700-09-3 ,1
1772-10-7 ,1
17794-44-4 ,0
1779-48-2 ,1
17849-38-6 ,1
1792-81-0 ,0
1798-09-0 ,1
18046-21-4 ,3
1806-26-4 ,1
18113-81-0 ,1
1812-51-7 ,2
18144-43-9 ,1
181695-72-7 ,3
1821-12-1 ,1
1821-39-2 ,1
1825-21-4 ,1
18252-44-3 ,0
18252-46-5 ,0
18259-05-7 ,2
18281-04-4 ,0
18281-05-5 ,0
18362-97-5 ,0
18368-95-1 ,0
18409-17-1 ,0
18409-18-2 ,0
18438-38-5 ,1
18441-60-6 ,1
1861-40-1 ,1
18640-74-9 ,1
1868-53-7 ,0
18707-60-3 ,0
18708-70-8 ,1
1877-71-0 ,1
1877-75-4 ,1
1878-49-5 ,1
1878-65-5 ,1
18787-63-8 ,0
18794-84-8 ,0
18829-55-5 ,0
18829-56-6 ,0
1883-32-5 ,2
1885-29-6 ,1
1885-38-7 ,1
18854-56-3 ,0
1888-71-7 ,0
18912-81-7 ,0
18970-44-0 ,1
1897-45-6 ,1
18979-50-5 ,1
18979-53-8 ,1
18979-72-1 ,1
19089-47-5 ,0
191-07-1 ,7
1912-24-9 ,1
191-24-2 ,6
191-26-4 ,6
1918-16-7 ,1
192053-49-9 ,0
19218-94-1 ,0
1929-29-9 ,1
192-97-2 ,5
193-39-5 ,6
19393-92-1 ,1
19398-61-9 ,1
19406-51-0 ,1
19407-28-4 ,0
1942-45-6 ,0
19427-36-2 ,0
19438-10-9 ,1
19486-60-3 ,2
195-19-7 ,4
1953-54-4 ,2
1964-45-0 ,2
19686-73-8 ,0
19700-21-1 ,0
1975-50-4 ,1
1975-78-6 ,0
19780-25-7 ,0
19780-44-0 ,0
19788-49-9 ,0
1982-49-6 ,1
1984-58-3 ,1
1984-59-4 ,1
1984-65-2 ,1
19847-12-2 ,1
198-55-0 ,5
1987-50-4 ,1
19937-59-8 ,1
20024-90-2 ,1
20024-91-3 ,1
20085-19-2 ,0
20098-48-0 ,1
20125-84-2 ,0
20125-85-3 ,0
2016-42-4 ,0
2016-57-1 ,0
20185-55-1 ,1
20193-20-8 ,0
20237-34-7 ,0
2027-19-2 ,2
20278-89-1 ,0
20282-30-8 ,2
20307-83-9 ,0
20307-84-0 ,0
203-12-3 ,5
2032-33-9 ,1
20333-39-5 ,0
2033-89-8 ,1
2036-41-1 ,1
2038-57-5 ,1
2039-82-9 ,1
2039-87-4 ,1
2040-96-2 ,0
2043-61-0 ,0
20448-86-6 ,1
20479-06-5 ,0
2049-94-7 ,1
2049-95-8 ,1
2049-96-9 ,1
2050-08-0 ,1
2050-20-6 ,0
2050-23-9 ,0
2050-24-0 ,1
2050-67-1 ,2
2050-68-2 ,2
2050-77-3 ,0
2050-92-2 ,0
2051-24-3 ,2
205-12-9 ,3
2051-30-1 ,0
2051-31-2 ,0
2051-60-7 ,2
2051-61-8 ,2
2051-62-9 ,2
2051-84-5 ,1
2052-14-4 ,1
205-43-6 ,4
