CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,C,H,O,N,S,F,Cl,Br,I,Si
627-42-9,2-Chloroethylmethylether,,,,,0.28,0.76,0,2.863,,3,7,1,0,0,0,1,0,0,0
627-44-1,Diethylmercury,,,,,0.81,0.7,0,4.13,,4,1,0,0,0,0,0,0,0,0
627-45-2,N-Ethylformamide,,,,,0.37,1.3,0.4,3.189,,3,7,1,1,0,0,0,0,0,0
62-75-9,N-Nitrosodimethylamine,,,,,0.39,1.19,0,2.763,,2,6,1,2,0,0,0,0,0,0
627-59-8,5-Methylhexan-2-ol,,,,,0.16,0.33,0.33,3.819,,7,16,1,0,0,0,0,0,0,0
627-90-7,Ethyl undecanoate,,,,,0.01,0.58,0,6.662,,13,26,2,0,0,0,0,0,0,0
627-93-0,Dimethyl adipate,,,,,0.17,1.19,0,5.239,,8,14,4,0,0,0,0,0,0,0
62796-65-0,PCB 50,,,,,1.86,1.48,0,7.765,,12,6,0,0,0,0,4,0,0,0
628-02-4,Hexanamide,,,,,0.44,1.3,0.55,4.852,,6,13,1,1,0,0,0,0,0,0
628-05-7,1-Nitropentane,,,,,0.21,0.95,0,3.938,,5,11,2,1,0,0,0,0,0,0
6280-96-2,2-Propoxyphenol,,,,,0.8,0.9,0.2,5.44,,,,,,,,,,,
628-17-1,1-Iodopentane,,,,,0.62,0.4,0,4.13,,5,11,0,0,0,0,0,0,1,0
6281-94-3,N-Propylformamide,,,,,0.36,1.27,0.4,3.647,,4,9,1,1,0,0,0,0,0,0
628-28-4,methyl butyl ether,,,,,0.05,0.25,0,2.658,,5,12,1,0,0,0,0,0,0,0
628-29-5,Methylbutylsulfide,,,,,0.37,0.39,0,3.6,,5,12,0,0,1,0,0,0,0,0
628-32-0,ethyl propyl ether,,,,,0,0.25,0,2.493,,5,12,1,0,0,0,0,0,0,0
6283-25-6,2-Chloro-5-nitroaniline,,,,,1.41,1.5,0.38,6.359,,6,5,2,2,0,0,1,0,0,0
628-41-1,Cyclohexa-1.4-diene,,,,,0.5,0.46,0,3.033,,6,8,0,0,0,0,0,0,0,0
6284-46-4,Isopropyl crotonate,,,,,0.14,0.6,0,3.72,,,,,,,,,,,
628-51-3,Methylene diacetate,,,,,0.15,1.18,0,3.419,,5,8,4,0,0,0,0,0,0,0
628-55-7,Diisobutyl ether,,,,,0,0.19,0,3.485,,8,18,1,0,0,0,0,0,0,0
628-63-7,n-Pentyl acetate,,,,,0.07,0.6,0,3.844,,7,14,2,0,0,0,0,0,0,0
628-71-7,Hept-1-yne,,,,,0.16,0.23,0.09,3,,7,12,0,0,0,0,0,0,0,0
628-73-9,1-Cyanopentane,,,,,0.17,0.9,0,3.608,,6,11,0,1,0,0,0,0,0,0
628-76-2,1.5-Dichloropentane,,,,,0.42,0.96,0,4.251,,5,10,0,0,0,0,2,0,0,0
628-80-8,Methylpentylether,,,,,0.05,0.25,0,3.097,,6,14,1,0,0,0,0,0,0,0
628-81-9,Ethyl n-butyl ether,,,,,0.01,0.25,0,2.989,,6,14,1,0,0,0,0,0,0,0
628-85-3,Dipropylmercury,,,,,0.76,0.69,0,5.18,,6,1,0,0,0,0,0,0,0,0
628-92-2,Cycloheptene,,,,,0.41,0.22,0,3.626,,7,12,0,0,0,0,0,0,0,0
628-97-7,Ethyl hexadecanoate,,,,,0,0.58,0,9.072,,18,36,2,0,0,0,0,0,0,0
628-99-9,2-nonanol,,,,,0.17,0.36,0.33,4.817,,9,20,1,0,0,0,0,0,0,0
629-03-8,1.6-Dibromohexane,,,,,0.71,0.8,0,5.328,,6,12,0,0,0,0,0,2,0,0
629-04-9,1-Bromoheptane,,,,,0.34,0.4,0,4.663,,7,15,0,0,0,0,0,1,0,0
6290-49-9,Methyl methoxyacetate,,,,,0.18,0.62,0,2.705,,4,8,3,0,0,0,0,0,0,0
629-05-0,Oct-1-yne,,,,,0.16,0.22,0.09,3.521,,8,14,0,0,0,0,0,0,0,0
629-06-1,1-Chloroheptane,,,,,0.19,0.4,0,4.208,,7,15,0,0,0,0,1,0,0,0
629-08-3,1-Cyanohexane,,,,,0.16,0.9,0,4.089,,7,13,0,1,0,0,0,0,0,0
629-11-8,Hexan-1.6-diol,,,,,0.39,0.96,0.72,4.6,,6,14,2,0,0,0,0,0,0,0
629-14-1,1.2-diethoxyethane,,,,,0.01,0.73,0,3.31,,6,14,2,0,0,0,0,0,0,0
629-19-6,Dipropyl disulfide,,,,,0.65,0.52,0,4.984,,6,14,0,0,2,0,0,0,0,0
629-20-9,Cycloocta-1.3.5.7-tetraene,,,,,0.8,0.45,0,3.898,,8,8,0,0,0,0,0,0,0,0
629-27-6,1-Iodooctane,,,,,0.61,0.4,0,5.727,,8,17,0,0,0,0,0,0,1,0
629-30-1,Heptan-1.7-diol,,,,,0.38,0.97,0.72,4.98,,7,16,2,0,0,0,0,0,0,0
629-32-3,Methylheptylether,,,,,0.05,0.25,0,4.088,,8,18,1,0,0,0,0,0,0,0
629-33-4,Hexyl formate,,,,,0.09,0.63,0,3.97,,7,14,2,0,0,0,0,0,0,0
6293-37-4,2-Ethyl-1-hexyl propanoate,,,,,0.03,0.53,0,5.486,,11,22,2,0,0,0,0,0,0,0
629-35-6,Dibutylmercury,,,,,0.73,0.68,0,6.25,,8,1,0,0,0,0,0,0,0,0
629-41-4,Octan-1.8-diol,,,,,0.38,0.97,0.72,5.397,,8,18,2,0,0,0,0,0,0,0
6294-31-1,Dihexylsulfide,,,,,0.33,0.37,0,7.03,,12,26,0,0,1,0,0,0,0,0
629-45-8,Dibutyldisulfide,,,,,0.64,0.52,0,5.908,,8,18,0,0,2,0,0,0,0,0
629-50-5,n-Tridecane,,,,,0,0,0,6.2,,13,28,0,0,0,0,0,0,0,0
629-58-3,Pentadecyl acetate,,,,,0.03,0.6,0,8.684,,17,34,2,0,0,0,0,0,0,0
629-59-4,n-Tetradecane,,,,,0,0,0,6.705,,14,30,0,0,0,0,0,0,0,0
629-62-9,n-Pentadecane,,,,,0,0,0,7.209,,15,32,0,0,0,0,0,0,0,0
629-65-2,Diheptylsulfide,,,,,0.32,0.38,0,8.08,,14,30,0,0,1,0,0,0,0,0
629-66-3,Nonadecan-2-one,,,,,0.09,0.68,0,9.566,,19,38,1,0,0,0,0,0,0,0
629-70-9,Hexdecyl acetate,,,,,0.02,0.6,0,9.159,,18,36,2,0,0,0,0,0,0,0
629-73-2,Hexadec-1-ene,,,,,0.08,0.08,0,7.5,,16,32,0,0,0,0,0,0,0,0
6297-41-2,Butyl 2-methylpentanoate,,,,,0.03,0.49,0,4.973,,10,20,2,0,0,0,0,0,0,0
6297-42-3,Isobutyl 2-methylpentanoate,,,,,0.04,0.47,0,4.801,,10,20,2,0,0,0,0,0,0,0
6297-48-9,Pentyl 2-methylpentanoate,,,,,0.03,0.48,0,5.445,,11,22,2,0,0,0,0,0,0,0
629-76-5,1-pentadecanol,,,,,0.16,0.42,0.37,8.146,,15,32,1,0,0,0,0,0,0,0
629-78-7,n-Heptadecane,,,,,0,0,0,8.218,,17,36,0,0,0,0,0,0,0,0
629-80-1,Hexadecanal,,,,,0.1,0.65,0,8.34,,16,32,1,0,0,0,0,0,0,0
629-82-3,Dioctylether,,,,,0,0.25,0,7.777,,16,34,1,0,0,0,0,0,0,0
629-90-3,Heptadecanal,,,,,0.09,0.65,0,8.843,,17,34,1,0,0,0,0,0,0,0
629-92-5,n-Nonadecane,,,,,0,0,0,9.226,,19,40,0,0,0,0,0,0,0,0
629-93-6,1-Iodooctadecane,,,,,0.56,0.4,0,11.032,,18,37,0,0,0,0,0,0,1,0
629-94-7,n-heinecosane,,,,,0,0,0,10.236,,21,44,0,0,0,0,0,0,0,0
629-96-9,Eicosan-1-ol,,,,,0.14,0.42,0.37,10.667,,20,42,1,0,0,0,0,0,0,0
629-97-0,n-Docosane,,,,,0,0,0,10.74,,22,46,0,0,0,0,0,0,0,0
629-99-2,n-Pentacosane,,,,,0,0,0,12.264,,25,52,0,0,0,0,0,0,0,0
630-01-3,n-Hexacosane,,,,,0,0,0,12.77,,26,54,0,0,0,0,0,0,0,0
630-02-4,n-Octacosane,,,,,0,0,0,13.78,,28,58,0,0,0,0,0,0,0,0
630-03-5,n-Nonacosane,,,,,0,0,0,14.291,,29,60,0,0,0,0,0,0,0,0
630-18-2,2-Cyano-2-methylpropane,,,,,0.14,0.84,0,2.8,,5,9,0,1,0,0,0,0,0,0
630-19-3,2.2-Dimethylpropanal,,,,,0.15,0.59,0,2.406,,5,10,1,0,0,0,0,0,0,0
630-20-6,1.1.1.2-Tetrachloroethane,,,,,0.54,0.63,0.1,3.641,,2,2,0,0,0,0,4,0,0,0
6304-27-4,Y-G 15,,,,,0.75,0.9,0,6.025,,,,,,,,,,,
63046-09-3,4'.6-Dihydroxyflavone,,,,,2.15,1.9,1.3,10.33,,,,,,,,,,,
6304-89-8,3-Acetoxybenzoic acid,,,,,0.84,1.5,0.64,6.313,,9,8,4,0,0,0,0,0,0,0
63-05-8,4-Androstene-3.17-dione,,,,,1.56,2.6,0,11.88,,19,26,2,0,0,0,0,0,0,0
6306-24-7,4-Carboxamidobenzenesulfonamide,,,,,1.51,2.42,0.65,8.29,,,,,,,,,,,
63075-06-9,Pentyl N-phenylcarbamate,,,,,0.9,1.25,0.4,7.64,,12,17,2,1,0,0,0,0,0,0
630-76-2,Tetraphenylmethane,,,,,2.35,1.27,0,11.02,,25,20,0,0,0,0,0,0,0,0
631-36-7,Tetraethylsilicon,,,,,0.13,-0.12,0,4.348,,,,,,,,,,,
6316-30-9,Undecyl benzoate,,,,,0.63,0.78,0,9.786,,18,28,2,0,0,0,0,0,0,0
631-64-1,Dibromoacetic acid,,,,,0.8,1.24,0.92,4.414,,2,2,2,0,0,0,0,2,0,0
6320-18-9,Octan-3.5-dione,,,,,0.41,0.67,0.09,4.807,,,,,,,,,,,
632-14-4,Trimethylurea,,,,,0.41,1.06,0.19,3.666,,4,10,1,2,0,0,0,0,0,0
632-22-4,Tetramethylurea,,,,,0.38,1.07,0,4.141,,5,12,1,2,0,0,0,0,0,0
632-24-6,2-Sulfamoylbenzoic acid,,,,,1.35,1.73,1.09,7.427,,,,,,,,,,,
632-46-2,2.6-Dimethylbenzoic acid,,,,,0.73,0.92,0.65,5.4,,9,10,2,0,0,0,0,0,0,0
63-25-2,1-naphthyl N-methylcarbamate,,,,,1.51,1.67,0.22,7.97,,12,11,2,1,0,0,0,0,0,0
6325-93-5,4-Nitrobenzenesulfonamide,,,,,1.39,2.09,0.88,7.589,,6,6,4,2,1,0,0,0,0,0
6335-39-3,4-Isopropylbenzenesulfonamide,,,,,1.1,1.42,0.56,7.388,,,,,,,,,,,
634-66-2,1.2.3.4-Tetrachlorobenzene,,,,,1.18,0.92,0,6.171,,6,2,0,0,0,0,4,0,0,0
634-89-9,1.2.3.5-Tetrabromobenzene,,,,,1.83,1.24,0,7.57,,6,2,0,0,0,0,0,4,0,0
634-90-2,1.2.3.5-Tetrachlorobenzene,,,,,1.16,0.85,0,5.922,,6,2,0,0,0,0,4,0,0,0
634-95-7,1.1-Diethylurea,,,,,0.39,1.29,0.45,4.58,,5,12,1,2,0,0,0,0,0,0
635-89-2,1.2-Di-n-pentylbenzene,,,,,0.63,0.51,0,7.572,,,,,,,,,,,
636-28-2,1.2.4.5-tetrabromobenzene,,,,,1.83,1.19,0,7.434,,6,2,0,0,0,0,0,4,0,0
636-30-6,2.4.5-Trichloroaniline,,,,,1.24,1.15,0.3,5.927,,6,4,0,1,0,0,3,0,0,0
636-41-9,2-Methylpyrrole,,,,,0.61,0.94,0.24,3.336,,5,7,0,1,0,0,0,0,0,0
63659-18-7,Betaxolol,,,,,1.18,1.51,0.24,11.08,,,,,,,,,,,
63675-72-9,Nisoldipine,,,,,1.56,2.02,0.23,13.28,,20,24,6,2,0,0,0,0,0,0
636-76-0,3-Sulfamoylbenzoic acid,,,,,1.35,1.68,1,7.347,,7,7,4,1,1,0,0,0,0,0
637-07-0,Clofibrate,,,,,0.81,1.52,0,7.818,,12,15,3,0,0,0,1,0,0,0
63-74-1,Sulfanilamide,,,,,1.5,1.82,0.41,7.01,,6,8,2,2,1,0,0,0,0,0
637-50-3,1-Phenyl-1-propene,,,,,0.91,0.72,0,4.486,,9,10,0,0,0,0,0,0,0,0
637-59-2,3-Phenyl-1-propyl bromide,,,,,1.08,1,0,6.04,,9,11,0,0,0,0,0,1,0,0
637-78-5,Isopropyl propanoate,,,,,0.04,0.53,0,3.028,,6,12,2,0,0,0,0,0,0,0
6378-65-0,Hexyl hexanoate,,,,,0.01,0.56,0,6.174,,12,24,2,0,0,0,0,0,0,0
637-87-6,p-chloroiodobenzene,,,,,1.31,0.91,0,5.38,,6,4,0,0,0,0,1,0,1,0
637-88-7,Cyclohexan-1.4-dione,,,,,0.5,1.58,0,4.311,,6,8,2,0,0,0,0,0,0,0
637-92-3,Ethyl tert-butyl ether,,,,,0,0.16,0,2.652,,6,14,1,0,0,0,0,0,0,0
6379-73-3,2-Methyl-5-Isopropylanisole,,,,,0.68,0.74,0,5.819,,11,16,1,0,0,0,0,0,0,0
638-00-6,2.4-Dimethylthiophene,,,,,0.67,0.54,0,3.7,,6,8,0,0,1,0,0,0,0,0
638-02-8,2.5-Dimethylthiophene,,,,,0.69,0.54,0,3.769,,6,8,0,0,1,0,0,0,0,0
638-04-0,cis-1.3-Dimethylcyclohexane,,,,,0.2,0.1,0,3.533,,8,16,0,0,0,0,0,0,0,0
638-11-9,Isopropyl butanoate,,,,,0.01,0.53,0,3.482,,7,14,2,0,0,0,0,0,0,0
63834-87-7,Methylheptylsulfide,,,,,0.35,0.4,0,5.18,,,,,,,,,,,
638-36-8,Phytane,,,,,0,0,0,8.727,,20,42,0,0,0,0,0,0,0,0
638-45-9,1-Iodohexane,,,,,0.62,0.4,0,4.62,,6,13,0,0,0,0,0,0,1,0
638-46-0,Ethylbutylsulfide,,,,,0.36,0.37,0,3.527,,6,14,0,0,1,0,0,0,0,0
638-49-3,Pentyl formate,,,,,0.1,0.63,0,3.488,,6,12,2,0,0,0,0,0,0,0
638-53-9,Tridecanoic acid,,,,,0.07,0.64,0.62,7.134,,13,26,2,0,0,0,0,0,0,0
638-59-5,Tetradecyl acetate,,,,,0.03,0.6,0,8.192,,16,32,2,0,0,0,0,0,0,0
638-66-4,Octadecanal,,,,,0.09,0.65,0,9.344,,18,36,1,0,0,0,0,0,0,0
638-67-5,n-Tricosane,,,,,0,0,0,11.252,,23,48,0,0,0,0,0,0,0,0
63968-64-9,Artemisinin,,,,,1.11,2.1,0,9.745,,15,22,5,0,0,0,0,0,0,0
64-04-0,2-Phenylethylamine,,,,,0.8,0.9,0.21,4.946,,8,11,0,1,0,0,0,0,0,0
64-10-8,Phenylurea,,,,,1.11,1.33,0.79,6.332,,7,8,1,2,0,0,0,0,0,0
64-12-0,4-Chloroamphetamine,,,,,0.91,0.98,0.2,6.096,,,,,,,,,,,
6418-43-5,3-Methylhexadecane,,,,,0,0,0,8.073,,17,36,0,0,0,0,0,0,0,0
6418-44-6,3-Methylheptadecane,,,,,0,0,0,8.573,,18,38,0,0,0,0,0,0,0,0
642-31-9,9-Anthraldehyde,,,,,2.25,1.77,0,9.268,,15,10,1,0,0,0,0,0,0,0
643-58-3,2-Methylbiphenyl,,,,,1.33,0.88,0,6.058,,13,12,0,0,0,0,0,0,0,0
643-79-8,Phthalaldehyde,,,,,0.99,1.29,0,5.542,,8,6,2,0,0,0,0,0,0,0
643-93-6,3-Methylbiphenyl,,,,,1.37,0.95,0,6.591,,13,12,0,0,0,0,0,0,0,0
644-08-6,4-Methylbiphenyl,,,,,1.36,0.98,0,6.612,,13,12,0,0,0,0,0,0,0,0
644-35-9,2-n-Propylphenol,,,,,0.82,0.84,0.52,5.248,,9,12,1,0,0,0,0,0,0,0
6443-92-1,cis-Hept-2-ene,,,,,0.14,0.08,0,3.21,,7,14,0,0,0,0,0,0,0,0
644-49-5,Propyl isobutanoate,,,,,0.02,0.53,0,3.555,,7,14,2,0,0,0,0,0,0,0
64491-68-5,Methylglycidylether,,,,,0.27,0.94,0,2.677,,,,,,,,,,,
645-09-0,3-Nitrobenzamide,,,,,1.27,2.14,0.75,6.907,,7,6,3,2,0,0,0,0,0,0
6452-71-7,Oxprenolol,,,,,1.23,1.45,0.15,9.883,,15,23,3,1,0,0,0,0,0,0
645-49-8,cis-Stilbene,,,,,1.6,0.98,0,6.474,,14,12,0,0,0,0,0,0,0,0
645-56-7,4-n-Propylphenol,,,,,0.79,0.88,0.54,5.185,,9,12,1,0,0,0,0,0,0,0
645-62-5,2-Ethyl-2-hexenal,,,,,0.4,0.7,0,4.371,,8,14,1,0,0,0,0,0,0,0
646-14-0,1-Nitrohexane,,,,,0.2,0.95,0,4.416,,6,13,2,1,0,0,0,0,0,0
646-19-5,1.7-Diaminoheptane,,,,,0.41,0.66,0.36,4.917,,7,18,0,2,0,0,0,0,0,0
646-24-2,1.9-Diaminononane,,,,,0.41,0.69,0.32,5.951,,9,22,0,2,0,0,0,0,0,0
646-25-3,1.10-Diaminodecane,,,,,0.41,0.7,0.3,6.48,,10,24,0,2,0,0,0,0,0,0
64628-44-0,Triflumuron,,,,,1.54,1.95,0.35,10.918,,,,,,,,,,,
646-30-0,Nonadecanoic acid,,,,,0.01,0.66,0.62,10.044,,19,38,2,0,0,0,0,0,0,0
646-31-1,n-Tetracosane,,,,,0,0,0,11.758,,24,50,0,0,0,0,0,0,0,0
64-69-7,Iodoacetic acid,,,,,0.81,1.14,0.78,3.85,,2,3,2,0,0,0,0,0,1,0
647-42-7,1H.1H.2H.2H-Perfluorooctan-1-ol,,,,,-0.81,0.02,0.52,3.375,,,,,,,,,,,
64-77-7,Tolbutamide,,,,,1.33,2.2,0.59,10.26,,12,18,3,2,1,0,0,0,0,0
64902-72-3,Chlorsulfuron,,,,,2.3,2.02,0.31,12.45,,12,12,4,5,1,0,1,0,0,0
65061-79-2,2.4.6-Trimethyl-3-ethylpyridine,,,,,0.73,0.74,0,5.327,,,,,,,,,,,
6510-65-2,1-Methylcarbazole,,,,,1.79,2.04,0.09,8.364,,13,11,0,1,0,0,0,0,0,0
65113-99-7,Sandalore,,,,,0.55,0.87,0.37,7.63,,,,,,,,,,,
65144-02-7,Lactamide,,,,,0.46,1.15,0.66,3.435,,3,7,2,1,0,0,0,0,0,0
6521-29-5,Pentyl 4-hydroxybenzoate,,,,,0.9,1.47,0.74,7.91,,12,16,3,0,0,0,0,0,0,0
6533-00-2,Norgestrel,,,,,1.9,2.54,0.45,13.09,,,,,,,,,,,
65-45-2,2-Hydroxybenzamide,,,,,1.16,1.65,0.63,5.91,,7,7,2,1,0,0,0,0,0,0
65-49-6,4-Aminosalicylic acid,,,,,1.25,1.53,0.99,6.228,,7,7,3,1,0,0,0,0,0,0
65510-44-3,PCB 123,,,,,2.07,1.59,0,9.388,,12,5,0,0,0,0,5,0,0,0
65510-45-4,PCB 85,,,,,2.03,1.61,0,9.092,,12,5,0,0,0,0,5,0,0,0
65576-45-6,Org5222,,,,,1.96,1.8,0,10.632,,,,,,,,,,,
65611-31-6,Hepytl trichloroacetate,,,,,0.28,0.72,0,6.493,,9,15,2,0,0,0,3,0,0,0
65611-32-7,Nonyl trichloroacetate,,,,,0.26,0.72,0,7.518,,11,19,2,0,0,0,3,0,0,0
65611-33-8,Decyl trichloroacetate,,,,,0.25,0.72,0,8.033,,12,21,2,0,0,0,3,0,0,0
6565-56-6,1-Ethyl-3-sec.-butylbenzene,,,,,0.62,0.49,0,5.601,,,,,,,,,,,
6565-57-7,1-Ethyl-4-sec.-butylbenzene,,,,,0.63,0.5,0,5.676,,12,18,0,0,0,0,0,0,0,0
65-71-4,Thymine,,,,,0.8,1.67,0.38,4.888,,5,6,2,2,0,0,0,0,0,0
657-24-9,Metformin,,,,,1.13,0.54,0.57,5.01,,,,,,,,,,,
65757-61-1,(1-Isopropoxyethyl)benzene,,,,,0.58,0.65,0,5.496,,11,16,1,0,0,0,0,0,0,0
65-85-0,Benzoic acid,,,,,0.73,0.9,0.59,4.657,,7,6,2,0,0,0,0,0,0,0
65872-41-5,ATMAA,,,,,1.57,2.84,0.82,8.658,,,,,,,,,,,
659-70-1,3-Methylbutyl isopentanoate,,,,,-0.02,0.5,0,4.856,,10,20,2,0,0,0,0,0,0,0
66000-36-0,Bis(benzoxazolyl-2-methyl)sulfide,,,,,2.73,2.08,0,11.92,,16,12,2,2,1,0,0,0,0,0
66104-22-1,Pergolide,,,,,2.22,1.95,0.31,12.78,,,,,,,,,,,
661-11-0,1-Fluoroheptane,,,,,-0.02,0.35,0,3.451,,7,15,0,0,0,1,0,0,0,0
6611-91-2,Perillal,,,,,0.72,0.89,0,5.787,,,,,,,,,,,
66-22-8,uracil,,,,,0.81,0.85,0.43,3.626,,4,4,2,2,0,0,0,0,0,0
6624-57-3,Dibutyl glutarate,,,,,0.05,1.06,0,7.438,,13,24,4,0,0,0,0,0,0,0
66-25-1,Hexanal,,,,,0.15,0.65,0,3.357,,6,12,1,0,0,0,0,0,0,0
6626-22-8,4-Amino-4'-bromodiphenylsulfone,,,,,2.16,2.5,0.46,11.04,,,,,,,,,,,
6627-55-0,2-Bromo-4-methylphenol,,,,,1.04,0.9,0.35,5.27,,7,7,1,0,0,0,0,1,0,0
6627-76-5,2-Methylnonan-4-one,,,,,0.09,0.68,0,5.116,,10,20,1,0,0,0,0,0,0,0
6627-88-9,4-Allyl-2.6-dimethoxyphenol,,,,,1.06,1.15,0.18,6.97,,11,14,3,0,0,0,0,0,0,0
6630-33-7,2-Bromobenzaldehyde,,,,,1.11,1.21,0,5.208,,7,5,1,0,0,0,0,1,0,0
66323-42-0,O-Acetylzidovudine,,,,,1.74,1.8,0.28,10.52,,,,,,,,,,,
6639-15-2,Isopropyl 2-methylpentanoate,,,,,0.01,0.45,0,4.239,,9,18,2,0,0,0,0,0,0,0
6639-30-1,2.4.5-Trichlorotoluene,,,,,1.06,0.86,0,5.805,,7,5,0,0,0,0,3,0,0,0
66481-77-4,Ethylisopentylsulfide,,,,,0.33,0.37,0,4.35,,,,,,,,,,,
66508-53-0,Fosmidomycin,,,,,1.1,1.95,2.25,7.41,,,,,,,,,,,
66-56-8,2.3-dinitrophenol,,,,,1.2,1.48,0.67,6.197,,6,4,5,2,0,0,0,0,0,0
66650-28-0,N-Phenyl-4-ethoxybenzohydroxamic acid,,,,,1.76,1.39,0.31,9.75,,,,,,,,,,,
66650-30-4,N-p-Tolyl-4-ethoxybenzohydroxamic acid,,,,,1.78,1.4,0.32,10.41,,,,,,,,,,,
6665-66-3,5.6-Dihydroxyflavone,,,,,2.06,1.96,0.63,10.08,,,,,,,,,,,
6665-67-4,4'.5-Dihydroxyflavone,,,,,2.14,1.94,0.71,10.18,,,,,,,,,,,
6665-69-6,3.5-Dihydroxyflavone,,,,,2.09,2.07,0.37,10.13,,,,,,,,,,,
6665-83-4,6-Hydroxyflavone,,,,,2,1.68,0.61,9.512,,,,,,,,,,,
6665-86-7,7-Hydroxyflavone,,,,,1.99,1.66,0.67,9.488,,,,,,,,,,,
6669-13-2,tert-Butylphenylether,,,,,0.59,0.7,0,5.207,,10,14,1,0,0,0,0,0,0,0
66-71-7,1.10-Phenanthroline,,,,,1.97,1.89,0,8.152,,12,8,0,2,0,0,0,0,0,0
66722-44-9,Bisoprolol,,,,,0.83,1.5,0.3,11.2,,18,31,4,1,0,0,0,0,0,0
6673-35-4,Practolol,,,,,1.45,1.9,0.6,10.51,,14,22,3,2,0,0,0,0,0,0
6674-39-1,2'.5-Dihydroxyflavone,,,,,2.14,1.9,0.42,10.08,,,,,,,,,,,
66-77-3,1-Naphthaldehyde,,,,,1.55,1.4,0,6.646,,11,8,1,0,0,0,0,0,0,0
67003-50-3,a-Methoxy-p-toluic acid,,,,,0.78,1.04,0.71,5.525,,,,,,,,,,,
670-54-2,Tetracyanoethene,,,,,0.8,2.02,0,5.33,,6,0,0,4,0,0,0,0,0,0
67055-91-8,N-m-Chlorophenylbenzohydroxamic acid,,,,,1.84,1.19,0.32,9.05,,,,,,,,,,,
67-20-9,Nitrofurantoin,,,,,2.3,2.36,0.24,9.375,,8,6,5,4,0,0,0,0,0,0
672-65-1,(1-Chloroethyl)benzene,,,,,0.8,0.91,0,4.92,,8,9,0,0,0,0,1,0,0,0
6728-26-3,trans-Hex-2-ene-1-al,,,,,0.37,0.75,0,3.522,,6,10,1,0,0,0,0,0,0,0
673-04-1,Simeton,,,,,1.14,1.16,0.21,7.27,,8,15,1,5,0,0,0,0,0,0
6738-23-4,2.4-Dimethylanisole,,,,,0.74,0.77,0,4.913,,9,12,1,0,0,0,0,0,0,0
673-84-7,cis-Allo-ocimene,,,,,0.6,0.39,0,5.189,,10,16,0,0,0,0,0,0,0,0
67-47-0,5-Hydroxymethyl-2-furaldehyde,,,,,0.89,1.45,0.4,4.838,,6,6,3,0,0,0,0,0,0,0
674-76-0,trans-4-Methylpent-2-ene,,,,,0.1,0.08,0,2.465,,6,12,0,0,0,0,0,0,0,0
675-20-7,d-Valerolactam,,,,,0.57,1.5,0.3,4.182,,5,9,1,1,0,0,0,0,0,0
675-21-8,5-Fluoropyrimidine,,,,,0.47,0.9,0,2.789,,,,,,,,,,,
67-52-7,Barbituric acid,,,,,1.09,1.19,0.49,4.586,,4,4,3,2,0,0,0,0,0,0
6753-98-6,?-Caryophyllene,,,,,0.76,0.27,0,6.896,,15,24,0,0,0,0,0,0,0,0
6753-98-6,?-Caryophyllene,,,,,0.77,0.27,0,6.708,,15,24,0,0,0,0,0,0,0,0
67-66-3,Trichloromethane,,,,,0.43,0.49,0.15,2.48,,1,1,0,0,0,0,3,0,0,0
67-68-5,Dimethylsulphoxide,,,,,0.52,1.72,0,3.459,,2,6,1,0,1,0,0,0,0,0
67-72-1,Hexachloroethane,,,,,0.68,0.68,0,4.573,,2,0,0,0,0,0,6,0,0,0
67801-20-1,Ebanol,,,,,0.66,0.67,0.33,7.39,,,,,,,,,,,
6789-88-4,Hexyl benzoate,,,,,0.66,0.79,0,7.23,,13,18,2,0,0,0,0,0,0,0
6790-58-5,Ambroxan,,,,,0.63,0.64,0,7.874,,16,28,1,0,0,0,0,0,0,0
6795-87-5,Methyl-sec-butylether,,,,,0.05,0.25,0,2.4,,5,12,1,0,0,0,0,0,0,0
6796-33-4,1.4-Dipentylbenzene,,,,,0.59,0.47,0,7.49,,16,26,0,0,0,0,0,0,0,0
679-84-5,halopropane,,,,,-0.06,0.53,0.05,2.388,,,,,,,,,,,
679-90-3,roflurane,,,,,0.15,0.46,0.08,2.555,,,,,,,,,,,
680-31-9,Hexamethylphosphoric triamide,,,,,0.37,0.88,0,5.35,,6,18,1,3,0,0,0,0,0,0
68039-26-9,Pentyl 2-methylbutanoate,,,,,0,0.53,0,5.007,,10,20,2,0,0,0,0,0,0,0
68-11-1,Mercaptoacetic acid,,,,,0.6,1,0.64,3.106,,2,4,2,0,1,0,0,0,0,0
68-12-2,Dimethylformamide,,,,,0.37,1.31,0,3.173,,3,7,1,1,0,0,0,0,0,0
6813-21-4,Selina-3.7(11)-diene,,,,,0.82,0.25,0,7.416,,15,24,0,0,0,0,0,0,0,0
68171-33-5,iso-Propyl iso-stearate,,,,,-0.02,0.53,0,10.258,,,,,,,,,,,
68194-04-7,PCB 51,,,,,1.86,1.48,0,7.99,,12,6,0,0,0,0,4,0,0,0
68194-05-8,PCB 91,,,,,2.01,1.61,0,8.672,,12,5,0,0,0,0,5,0,0,0
68194-06-9,PCB 102,,,,,2.01,1.61,0,8.67,,12,5,0,0,0,0,5,0,0,0
68194-07-0,PCB 90,,,,,2.04,1.61,0,8.845,,12,5,0,0,0,0,5,0,0,0
