CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
108-94-1,Cyclohexanone,,0.61,98.14,378.4,0.403,0.887,0,3.771,802.8,0,6,10,1,0,0,0,0,0,0,,,
100-64-1,Cyclohexanoneoxime,,0.635,113.16,362.2,0.73,0.677,0.45,4.442,832.1,0,6,11,1,1,0,0,0,0,0,,,
112-30-1,Decan-1-ol,,1.19,158.28,357.8,0.26,0.444,0.318,5.611,1479.3,0,10,22,1,0,0,0,0,0,0,,,
117-81-7,Di-2-Ethylhexylphthalate,,2.608,390.54,272.8,0.693,1.157,0,11.255,3134.3,0,24,38,4,0,0,0,0,0,0,,,
132-64-9,Dibenzofuran,,1.359,168.18,321.9,1.633,1.112,0,6.619,1380.5,2,12,8,1,0,0,0,0,0,0,,,
103-49-1,Dibenzylamine,,1.715,197.27,313.3,1.418,1.005,0.068,7.529,1796.3,2,14,15,0,1,0,0,0,0,0,,,
103-50-4,Dibenzylether,,1.649,198.25,320.4,1.21,1.1,0,7.17,1718.8,2,14,14,1,0,0,0,0,0,0,,,
3582-71-6,Dichloro-hexamethyltrisiloxane,Silane/Siloxane,0.671,277.37,384.2,-0.234,0.313,0,4.539,874.6,0,6,18,2,0,0,0,2,0,3,,,
2401-73-2,Dichloro-tetramethyldisiloxane,Silane/Siloxane,0.423,203.22,391.1,-0.066,-0.012,0,4.168,584.5,0,4,12,1,0,0,0,2,0,2,,,
849-99-0,Dicyclohexyladipate,,1.926,310.42,287.6,0.649,1.275,0,10.052,2338.1,0,18,30,4,0,0,0,0,0,0,,,
101-83-7,Dicyclohexylamine,,1.434,181.31,344.3,0.576,0.419,0,6.665,1763.9,0,12,23,0,1,0,0,0,0,0,,,
84-61-7,Dicyclohexylphthalate,,2.028,330.40,265.0,1.464,1.516,0,10.722,2457.8,0,20,26,4,0,0,0,0,0,0,,,
141-28-6,Diethyladipate,,0.991,202.24,352.4,0.085,1.063,0,5.891,1247.3,0,10,18,4,0,0,0,0,0,0,,,
77-25-8,Diethyldiethylmalonate,,1.117,216.27,361.0,0.01,0.729,0,5.645,1394.6,0,11,20,4,0,0,0,0,0,0,,,
84-66-2,Diethylphthalate,,1.094,222.23,329.4,0.725,1.393,0,6.68,1367.1,0,12,14,4,0,0,0,0,0,0,,,
110-40-7,Diethylsebacate,,1.496,258.34,327.1,0.043,1.058,0,7.871,1836.4,0,14,26,4,0,0,0,0,0,0,,,
80-97-7,Dihydrocholesterol,,3.186,388.65,233.4,1.333,1.046,0.207,13.525,3808.1,0,27,48,1,0,0,0,0,0,0,,,
84-69-5,Diisobutylphthalate,,1.598,278.33,313.4,0.672,1.246,0,8.094,1956.2,0,16,22,4,0,0,0,0,0,0,,,
131-11-3,Dimethylphthalate,,0.841,194.18,336.4,0.795,1.502,0,5.965,1072.5,0,10,10,4,0,0,0,0,0,0,,,
84-74-2,Di-n-Butylphthalate,,1.598,278.33,306.7,0.694,1.321,0,8.508,1956.2,0,16,22,4,0,0,0,0,0,0,,,
141-03-7,Di-n-Butylsuccinate,,1.243,230.29,341.2,0.091,0.94,0,6.867,1541.9,0,12,22,4,0,0,0,0,0,0,,,
117-84-0,Di-n-Octylphthalate,,2.608,390.54,262.3,0.662,1.291,0,11.957,3134.3,0,24,38,4,0,0,0,0,0,0,,,
123-91-1,Dioxane,,0.354,88.10,393.6,0.329,0.739,0,2.833,503.8,0,4,8,2,0,0,0,0,0,0,,,
122-39-4,Diphenylamine,,1.463,169.22,317.1,1.432,1.223,0.186,6.892,1501.7,2,12,11,0,1,0,0,0,0,0,,,
101-84-8,Diphenylether,,1.397,170.20,337.1,1.168,0.936,0,6.107,1424.2,2,12,10,1,0,0,0,0,0,0,,,
112-53-8,Dodecan-1-ol,,1.442,186.33,344.8,0.19,0.433,0.346,6.655,1773.8,0,12,26,1,0,0,0,0,0,0,,,
7452-79-1,Ethyl2-methylbutyrate,,0.732,130.18,386.5,0.319,0.427,0,3.699,945.6,0,7,14,2,0,0,0,0,0,0,,,
100-41-4,Ethylbenzene,,0.956,106.16,380.2,0.613,0.509,0,3.8,1058.1,1,8,10,0,0,0,0,0,0,0,,,
93-89-0,Ethylbenzoate,,0.962,150.17,358.0,0.694,0.897,0,5.022,1065.3,1,9,10,2,0,0,0,0,0,0,,,
111-62-6,Ethyloleate,,2.336,310.50,304.3,0.144,0.582,0,9.978,2816.4,0,20,38,2,0,0,0,0,0,0,,,
105-37-3,Ethylpropionate,,0.48,102.13,398.7,0.092,0.533,0,2.889,651.1,0,5,10,2,0,0,0,0,0,0,,,
